param,val,status,chi_left,chi_right,chi_gap,expected_partner_phi,phi_gap,theta_gap,rho_gap,pair_score,released_energy_proxy
theta,-3.490658503988659,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,1.2217304763960313,0.0,0.30543261909900793,0.694567380900992
theta,-3.3637254674799806,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,1.3486635129047093,0.0,0.33716587822617744,0.6628341217738225
theta,-3.2367924309713016,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,1.4755965494133882,0.0,0.3688991373533472,0.6311008626466528
theta,-3.109859394462623,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,1.6025295859220672,0.0,0.4006323964805169,0.599367603519483
theta,-2.9829263579539447,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,1.7294626224307452,0.0,0.4323656556076864,0.5676343443923135
theta,-2.855993321445266,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,1.8563956589394233,0.0,0.4640989147348559,0.535901085265144
theta,-2.7290602849365877,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,1.9833286954481022,0.0,0.49583217386202566,0.5041678261379743
theta,-2.602127248427909,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,2.110261731956781,0.0,0.5275654329891953,0.47243456701080466
theta,-2.4751942119192307,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,2.237194768465459,0.0,0.5592986921163648,0.44070130788363515
theta,-2.3482611754105522,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,2.364127804974138,0.0,0.5910319512435346,0.4089680487564654
theta,-2.2213281389018737,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,2.491060841482816,0.0,0.6227652103707041,0.3772347896292959
theta,-2.094395102393195,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,2.617993877991495,0.0,0.6544984694978738,0.3455015305021262
theta,-1.9674620658845168,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,2.744926914500173,0.0,0.6862317286250433,0.31376827137495666
theta,-1.8405290293758378,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,2.871859951008852,0.0,0.7179649877522131,0.28203501224778693
theta,-1.7135959928671598,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,2.9987929875175303,0.0,0.7496982468793827,0.2503017531206173
theta,-1.5866629563584809,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,3.1257260240262092,0.0,0.7814315060065524,0.21856849399344758
theta,-1.4597299198498028,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,3.0305262466446994,0.0,0.757631561661175,0.24236843833882504
theta,-1.332796883341124,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,2.9035932101360205,0.0,0.7258983025340052,0.2741016974659948
theta,-1.2058638468324459,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,2.7766601736273424,0.0,0.6941650434068357,0.3058349565931643
theta,-1.078930810323767,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,2.6497271371186635,0.0,0.662431784279666,0.337568215720334
theta,-0.9519977738150889,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,2.5227941006099854,0.0,0.6306985251524965,0.36930147484750353
theta,-0.82506473730641,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,2.3958610641013065,0.0,0.5989652660253267,0.40103473397467326
theta,-0.6981317007977319,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,2.2689280275926285,0.0,0.5672320068981572,0.4327679931018428
theta,-0.571198664289053,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,2.1419949910839495,0.0,0.5354987477709875,0.4645012522290125
theta,-0.4442656277803749,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,2.0150619545752715,0.0,0.503765488643818,0.496234511356182
theta,-0.317332591271696,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,1.8881289180665926,0.0,0.47203222951664825,0.5279677704833518
theta,-0.19039955476301706,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,1.7611958815579136,0.0,0.4402989703894785,0.5597010296105215
theta,-0.06346651825433902,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,1.6342628450492356,0.0,0.408565711262309,0.591434288737691
theta,0.06346651825433991,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,1.5073298085405566,0.0,0.3768324521351393,0.6231675478648607
theta,0.19039955476301795,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,1.3803967720318786,0.0,0.34509919300796976,0.6549008069920302
theta,0.3173325912716969,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,1.2534637355231997,0.0,0.31336593388080003,0.6866340661192
theta,0.4442656277803749,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,1.1265306990145216,0.0,0.2816326747536305,0.7183673252463695
theta,0.5711986642890539,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.9995976625058427,0.0,0.24989941562646079,0.7501005843735392
theta,0.6981317007977319,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.8726646259971645,0.0,0.21816615649929127,0.7818338435007087
theta,0.8250647373064108,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.7457315894884857,0.0,0.18643289737212154,0.8135671026278785
theta,0.9519977738150889,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.6187985529798077,0.0,0.15469963824495203,0.845300361755048
theta,1.0789308103237678,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.49186551647112875,0.0,0.12296637911778231,0.8770336208822177
theta,1.2058638468324459,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.3649324799624507,0.0,0.0912331199906128,0.9087668800093872
theta,1.3327968833411248,Vacuum,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.2379994434537718,0.0,0.059499860863443076,1.0
theta,1.4597299198498028,Vacuum,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.11106640694509373,0.0,0.027766601736273558,1.0
theta,1.5866629563584818,Vacuum,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.0158666295635852,0.0,0.003966657390896425,1.0
theta,1.7135959928671598,Vacuum,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.14279966607226324,0.0,0.035699916518065936,1.0
theta,1.8405290293758387,Vacuum,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.2697327025809422,0.0,0.06743317564523567,1.0
theta,1.9674620658845168,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.3966657390896202,0.0,0.09916643477240518,0.9008335652275948
theta,2.0943951023931966,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.5235987755983,0.0,0.13089969389957512,0.8691003061004249
theta,2.2213281389018746,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.6505318121069781,0.0,0.16263295302674463,0.8373670469732554
theta,2.3482611754105527,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.7774648486156561,0.0,0.19436621215391414,0.8056337878460859
theta,2.4751942119192307,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,0.9043978851243342,0.0,0.22609947128108365,0.7739005287189163
theta,2.6021272484279105,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,1.031330921633014,0.0,0.2578327304082536,0.7421672695917464
theta,2.7290602849365886,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,1.158263958141692,0.0,0.2895659895354231,0.7104340104645769
theta,2.8559933214452666,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,1.28519699465037,0.0,0.32129924866259263,0.6787007513374074
theta,2.9829263579539447,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,1.4121300311590481,0.0,0.35303250778976214,0.6469674922102379
theta,3.1098593944626245,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,1.539063067667728,0.0,0.3847657669169321,0.6152342330830679
theta,3.2367924309713025,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,1.665996104176406,0.0,0.4164990260441016,0.5835009739558984
theta,3.3637254674799806,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,1.792929140685084,0.0,0.4482322851712711,0.5517677148287289
theta,3.4906585039886586,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,1.919862177193762,0.0,0.4799655442984406,0.5200344557015594
theta,3.6175915404973384,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,2.046795213702442,0.0,0.5116988034256106,0.4883011965743894
theta,3.7445245770060165,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,2.17372825021112,0.0,0.5434320625527801,0.4565679374472199
theta,3.8714576135146945,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,2.300661286719798,0.0,0.5751653216799496,0.4248346783200504
theta,3.9983906500233743,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,2.427594323228478,0.0,0.6068985808071196,0.39310141919288044
theta,4.125323686532052,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,2.554527359737156,0.0,0.6386318399342891,0.36136816006571093
theta,4.25225672304073,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,2.681460396245834,0.0,0.6703650990614586,0.3296349009385414
theta,4.3791897595494085,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,2.808393432754512,0.0,0.7020983581886281,0.2979016418113719
theta,4.506122796058088,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,2.9353264692631917,0.0,0.733831617315798,0.26616838268420195
theta,4.633055832566766,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,3.06225950577187,0.0,0.7655648764429676,0.23443512355703244
theta,4.759988869075444,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,3.093992764899039,0.0,0.7734981912247598,0.22650180877524018
theta,4.886921905584122,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,2.967059728390361,0.0,0.7417649320975903,0.2582350679024097
theta,5.013854942092802,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,2.840126691881681,0.0,0.7100316729704204,0.28996832702957964
theta,5.14078797860148,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,2.7131936553730025,0.0,0.6782984138432507,0.32170158615674926
theta,5.267721015110158,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,2.5862606188643245,0.0,0.6465651547160812,0.3534348452839188
theta,5.394654051618836,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,2.4593275823556464,0.0,0.6148318955889117,0.3851681044110883
theta,5.521587088127516,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,2.3323945458469666,0.0,0.5830986364617418,0.41690136353825824
theta,5.648520124636194,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,2.2054615093382886,0.0,0.5513653773345722,0.44863462266542775
theta,5.775453161144872,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,2.0785284728296105,0.0,0.5196321182074027,0.48036788179259726
theta,5.902386197653552,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,1.951595436320931,0.0,0.48789885908023284,0.5121011409197671
theta,6.02931923416223,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,1.8246623998122529,0.0,0.4561655999530633,0.5438344000469366
theta,6.156252270670908,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,1.6977293633035748,0.0,0.4244323408258938,0.5755676591741061
theta,6.283185307179586,Residual Dipole,-0.7071067811865477,0.7071067811865476,1.1102230246251565e-16,0.3926990816987242,5.551115123125783e-17,1.5707963267948968,0.0,0.3926990816987243,0.6073009183012756
